*Nomor Kontrak;*Periode;*Jatuh Tempo;installment;Denda;Tanggal pelunasan
15683535;1;2024-01-12;1165000.0;84584;2024-01-16
15683535;2;2024-02-12;1165000.0;0;2024-02-12
15683535;3;2024-03-12;1165000.0;0;2024-03-08
15683535;4;2024-04-12;1165000.0;0;2024-04-12
15683535;5;2024-05-12;1165000.0;53055;2024-05-21
15683535;6;2024-06-12;1165000.0;0;2024-06-12
15683535;7;2024-07-12;1165000.0;0;2024-07-12
15683535;8;2024-08-12;1165000.0;0;2024-08-12
15683535;9;2024-09-12;1165000.0;0;2024-09-12
15683535;10;2024-10-12;1165000.0;0;2024-10-12
15683535;11;2024-11-12;1165000.0;0;2024-11-11
15683535;12;2024-12-12;1165000.0;0;2024-12-12
15683535;13;2025-01-12;1165000.0;43043;2025-01-14
15683535;14;2025-02-12;1165000.0;97447;2025-02-21
15683535;15;2025-03-12;1165000.0;0;2025-03-11
15683535;16;2025-04-12;1165000.0;0;2025-04-12
15683535;17;2025-05-12;1165000.0;18291;2025-05-17
15683535;18;2025-06-12;1165000.0;0;2025-06-12
15683535;19;2025-07-12;1165000.0;0;2025-07-12
17239924;1;2023-07-15;1733000.0;95831;2023-07-18
17239924;2;2023-08-15;1733000.0;0;2023-08-12
17239924;3;2023-09-15;1733000.0;0;2023-09-10
17239924;4;2023-10-15;1733000.0;66113;2023-10-17
17239924;5;2023-11-15;1733000.0;0;2023-11-15
17239924;6;2023-12-15;1733000.0;0;2023-12-15
17239924;7;2024-01-15;1733000.0;0;2024-01-15
17239924;8;2024-02-15;1733000.0;0;2024-02-15
17239924;9;2024-03-15;1733000.0;54815;2024-03-24
17239924;10;2024-04-15;1733000.0;83881;2024-04-24
17239924;11;2024-05-15;1733000.0;0;2024-05-15
17239924;12;2024-06-15;1733000.0;0;2024-06-15
17239924;13;2024-07-15;1733000.0;0;2024-07-15
17239924;14;2024-08-15;1733000.0;76791;2024-08-21
17239924;15;2024-09-15;1733000.0;14715;2024-09-21
17239924;16;2024-10-15;1733000.0;0;2024-10-15
17239924;17;2024-11-15;1733000.0;0;2024-11-11
17239924;18;2024-12-15;1733000.0;0;2024-12-15
17239924;19;2025-01-15;1733000.0;0;2025-01-15
17239924;20;2025-02-15;1733000.0;0;2025-02-15
17239924;21;2025-03-15;1733000.0;0;2025-03-10
17239924;22;2025-04-15;1733000.0;67120;2025-04-20
17239924;23;2025-05-15;1733000.0;44893;2025-05-17
17239924;24;2025-06-15;1733000.0;52871;2025-06-21
29803935;1;2023-07-16;1235000.0;76322;2023-07-25
29803935;2;2023-08-16;1235000.0;0;2023-08-16
29803935;3;2023-09-16;1235000.0;0;2023-09-16
29803935;4;2023-10-16;1235000.0;0;2023-10-16
29803935;5;2023-11-16;1235000.0;0;2023-11-16
29803935;6;2023-12-16;1235000.0;0;2023-12-16
29803935;7;2024-01-16;1235000.0;0;2024-01-16
29803935;8;2024-02-16;1235000.0;0;2024-02-16
29803935;9;2024-03-16;1235000.0;0;2024-03-14
29803935;10;2024-04-16;1235000.0;0;2024-04-16
29803935;11;2024-05-16;1235000.0;0;2024-05-13
29803935;12;2024-06-16;1235000.0;69136;2024-06-22
29803935;13;2024-07-16;1235000.0;72725;2024-07-21
29803935;14;2024-08-16;1235000.0;0;2024-08-16
29803935;15;2024-09-16;1235000.0;44948;2024-09-21
29803935;16;2024-10-16;1235000.0;0;2024-10-16
29803935;17;2024-11-16;1235000.0;0;2024-11-16
29803935;18;2024-12-16;1235000.0;84961;2024-12-22
29803935;19;2025-01-16;1235000.0;0;2025-01-16
29803935;20;2025-02-16;1235000.0;92826;2025-02-22
29803935;21;2025-03-16;1235000.0;0;2025-03-14
29803935;22;2025-04-16;1235000.0;0;2025-04-12
29803935;23;2025-05-16;1235000.0;0;2025-05-16
29803935;24;2025-06-16;1235000.0;0;2025-06-16
32310152;1;2023-11-30;5140000.0;0;2023-11-30
32310152;2;2023-12-31;5140000.0;0;2023-12-31
32310152;3;2024-01-31;5140000.0;0;2024-01-31
32310152;4;2024-02-29;5140000.0;0;2024-02-29
32310152;5;2024-03-31;5140000.0;0;2024-03-31
32310152;6;2024-04-30;5140000.0;37199;2024-05-03
32310152;7;2024-05-31;5140000.0;99829;2024-06-09
32310152;8;2024-06-30;5140000.0;0;2024-06-30
32310152;9;2024-07-31;5140000.0;29249;2024-08-01
32310152;10;2024-08-31;5140000.0;0;2024-08-27
32310152;11;2024-09-30;5140000.0;96724;2024-10-06
32310152;12;2024-10-31;5140000.0;91931;2024-11-05
46135832;1;2023-09-12;2619000.0;18106;2023-09-19
46135832;2;2023-10-12;2619000.0;0;2023-10-12
46135832;3;2023-11-12;2619000.0;0;2023-11-11
46135832;4;2023-12-12;2619000.0;0;2023-12-12
46135832;5;2024-01-12;2619000.0;0;2024-01-12
46135832;6;2024-02-12;2619000.0;0;2024-02-12
46135832;7;2024-03-12;2619000.0;0;2024-03-12
46135832;8;2024-04-12;2619000.0;0;2024-04-12
46135832;9;2024-05-12;2619000.0;0;2024-05-12
46135832;10;2024-06-12;2619000.0;68572;2024-06-16
46135832;11;2024-07-12;2619000.0;55703;2024-07-17
46135832;12;2024-08-12;2619000.0;0;2024-08-11
